text,label
उसमें से 286 मरीज़ ठीक हो,2
उसमें से 286 मरीज़ ठीक हो गए तो बताओ,2
"उसमें से 286 मरीज़ ठीक हो गए तो बताओ , कितने मरीज़ शेष रहे ?",0
अथर्व ने 7 सेब तोड़े,1
"अथर्व ने 7 सेब तोड़े , नैन्सी ने 3 सेब तोड़े",1
"अथर्व ने 7 सेब तोड़े , नैन्सी ने 3 सेब तोड़े और कल्पेश ने 6 सेब और 4 नाशपाती तोड़े ।",1
कुल कितने सेब तोड़े गए ?,1
जागृति को समुद्र तट पर 70 सीपियाँ मिलीं ।,0
सिद्धांत ने उसे 27 सीपियाँ दीं ।,5
जागृति के पास अब कितनी सीपियाँ हैं ?,2
गीतिका के पास 11 फूल थे ।,2
उसने 4 फूलों को फूलदान में रख दिया ।,0
उसके पास कितने फूल शेष रहे ?,0
संजना की 11 पुस्तकें मेज़ पर पड़ी हैं ।,0
3 पुस्तकें उसके बैग में हैं ।,2
संजना के पास कितनी पुस्तकें हैं ?,2
वृंदा के पास 1400 क्रेयॉन हैं ।,2
लावण्या के पास 290 क्रेयॉन हैं ।,2
वृंदा के पास लावण्या से कितने अधिक क्रेयॉन हैं ?,2
यदि गुफा 974 फीट गहरी है,2
यदि गुफा 974 फीट गहरी है और वे पहले से ही गुफा के 588 फीट अंदर हैं,2
"यदि गुफा 974 फीट गहरी है और वे पहले से ही गुफा के 588 फीट अंदर हैं , तो गुफा से बाहर निकलने",0
"यदि गुफा 974 फीट गहरी है और वे पहले से ही गुफा के 588 फीट अंदर हैं , तो गुफा से बाहर निकलने के लिए उन्हें और कितनी दूरी तय करनी है ?",0
राजबीर ने ₹13 खर्च किए ।,0
अब उसके पास ₹6 है ।,2
राजबीर के पास खर्चा करने,0
राजबीर के पास खर्चा करने से पहले कितना पैसा था ?,2
स्कूल के पुस्तक मेले में सिद्धांत ने 13 पुरानी रोमांचक किताबें और 17 पुरानी रहस्य भरी किताबें खरीदीं ।,0
स्कूल के पुस्तक मेले में सिद्धांत ने 13 पुरानी रोमांचक किताबें और 17 पुरानी रहस्य भरी किताबें खरीदीं ।,4
अगर उसने 15 नई किताबें भी खरीदीं,4
"अगर उसने 15 नई किताबें भी खरीदीं , तो उसने कितनी किताबें खरीदीं ?",4
डैनियल के पास कुछ नूडल्स थीं ।,2
उसने विलियम को 12 नूडल्स दीं ।,5
अब डैनियल के पास केवल 54 नूडल्स हैं ।,2
पहले डैनियल के पास कितनी नूडल्स थी ?,2
1 खिलौने वाले के पास 24 खिलौने थे ।,2
उसने 16 खिलौने बेच दिए ।,5
बताइए,2
"बताइए , अब उसके पास कितने खिलौने बचे ?",0
मनोहर के पास 18 गुब्बारे हैं ।,2
उसने 13 गुब्बारे हवा में छोड़ दिए ।,1
अब उसके पास कितने गुब्बारे हैं ?,2
आस्था को 217 पत्थर मिले ।,0
पलक को 134 पत्थर मिले ।,0
उन्हें कुल कितने पत्थर मिले ?,0
मनीष ने अपनी बहन के लिए बैटरी वाली कार खरीदी ।,4
जिसका मूल्य ₹1000 है ।,2
परन्तु उसके पास जमा राशि ₹750 है ।,2
उसे बैटरी कार खरीदने,4
उसे बैटरी कार खरीदने के लिए और कितने रुपये की आवश्यकता है ?,2
सारा के पास बैंक में 21 रुपये थे ।,2
उसके पिताजी ने उसे 49 रुपये और दिए ।,5
उसके पास अब कितने रुपये हैं ?,2
ईशा की पेंसिल 22 इंच लंबी थी ।,2
अगर उसने उसे सोमवार को 2 इंच और मंगलवार को 2 इंच छीला,1
"अगर उसने उसे सोमवार को 2 इंच और मंगलवार को 2 इंच छीला , तो उसकी पेंसिल कितनी लंबी होगी ?",2
गुरप्रीत के कुत्ते के 8 पिल्ले,3
गुरप्रीत के कुत्ते के 8 पिल्ले हुए और 3 पर धब्बे थे ।,2
उसकी दोस्त ने उसे 4 और पिल्ले दिए ।,3
उसके पास अब कितने पिल्ले हैं ?,2
वन विभाग द्वारा 1 नर्सरी में 990 पौधे लगाए,0
"वन विभाग द्वारा 1 नर्सरी में 990 पौधे लगाए जिसमें से 418 आम के , 251 अमरूद के एवं शेष अनार के पौधे लगाए ।",0
बताओ,2
बताओ नर्सरी मे कुल अनार के कितने पौधे लगाए गए ?,0
जागृति ने बेचने,5
जागृति ने बेचने के लिए 33 किताबें इकट्ठा कीं ।,0
उसे बेचने,5
उसे बेचने के लिए 26 और मिलीं ।,0
उसके पास अब बेचने,5
उसके पास अब बेचने के लिए कितनी किताबें हैं ?,2
मीनू के पास 43 संतरे थे ।,2
उनमें से उसने 11 संतरे बाँट दिए ।,5
बताइए,2
"बताइए , अब उसके पास कितने संतरे बचे ?",0
स्कूल बस में 10 छात्र सवार थे ।,2
3 छात्र बस से उतर गए ।,5
बस में कितने छात्र बचे हैं ?,0
अहमद ने अपने 13 वीडियो गेम 1 दोस्त को दे दिए ।,5
अब अहमद के पास छह गेम हैं ।,2
अहमद के पास गेम देने,5
अहमद के पास गेम देने से पहले कितने गेम थे ?,2
मृदुल के MP3 प्लेयर पर 30 गाने थे ।,2
अगर उसने इसमें से 8 पुराने गाने डिलीट किए,0
अगर उसने इसमें से 8 पुराने गाने डिलीट किए और फिर 10 नए गाने डाले,0
"अगर उसने इसमें से 8 पुराने गाने डिलीट किए और फिर 10 नए गाने डाले , तो उसके MP3 प्लेयर पर कितने गाने हैं ?",2
जेसन शनिवार को मॉल में कपड़े खरीदने गया था ।,4
जेसन शनिवार को मॉल में कपड़े खरीदने गया था ।,1
उसने शॉर्ट्स और 1 जैकेट पर कुल 14.28 रुपये खर्च किए ।,0
उसने जैकेट पर 4.74 रुपये खर्च किए ।,0
जेसन ने शॉर्ट्स पर कितने रुपये खर्च किए ?,0
कल्पेश के पास 20 किताबें हैं ।,2
जेसन के पास 21 किताबें हैं ।,2
उनके पास कुल कितनी किताबें हैं ?,2
सिद्धांत के पास 86 पीले और 20 हरे कंचे थे ।,2
अरिजीत ने सिद्धांत के पीले पत्थरों में से 25 ले लिए ।,0
सिद्धांत के पास अब कितने पीले कंचे हैं ?,2
"रवि ने ₹20 की 1 कॉपी , ₹205 की 1 किताब तथा 1 पेन ₹10 का खरीदा ।",4
उसने कितने रुपये खर्च किये ?,0
"1 बग़ीचे में अनार के 35 पेड़ , अमरूद के 27 पेड़ और आम के 15 पेड़ हैं ।",2
बताओ,2
बताओ बग़ीचे में कुल कितने पेड़ है ?,2
1 पशु चिकित्सक का वजन 3 बिल्लियों था ।,2
पहली का वजन 2 किलो था ।,2
दूसरी का वजन 7 किलो और आखिरी का वजन 4 किलो था ।,2
उन तीनों का साथ में वजन कितना है ?,2
वर्तमान में पार्क में 42 अखरोट के पेड़ और 12 संतरों के पेड़ हैं ।,2
पार्क कर्मियों को 13 अखरोट के पेड़ काटने,1
पार्क कर्मियों को 13 अखरोट के पेड़ काटने पड़े जो क्षतिग्रस्त हो गए थे ।,2
श्रमिकों का काम समाप्त होने,2
श्रमिकों का काम समाप्त होने पर पार्क में कितने अखरोट के पेड़ होंगे ?,2
मुरली के गाँव में 41 गायें और 34 भैंसे हैं ।,2
उसके गाँव में कुल कितने पशु हैं ?,2
अहमद 50.25 रुपये लेकर,0
अहमद 50.25 रुपये लेकर मेले में जाता,1
अहमद 50.25 रुपये लेकर मेले में जाता है और 21.25 रुपये मेले में खर्च करता है ।,0
अब अहमद के पास कितने रुपये बचे हैं ?,0
1 दुकान में कुत्ते के खिलौनो के 610 बैग और बिल्ली के खिलौनो के 427 बैग हैं ।,2
बिल्ली के खिलौनो की तुलना में कुत्ते के खिलौनो के कितने ज़्यादा बैग हैं ?,2
जागृति के हाई स्कूल में इस साल 864 बेसबॉल मैच खेले,0
"जागृति के हाई स्कूल में इस साल 864 बेसबॉल मैच खेले गए , 128 मैच रात में खेले गए ।",0
वह 395 मैचों को देखने गई ।,0
वह 395 मैचों को देखने गई ।,1
जागृति कितने बेसबॉल मैच देखने नहीं गई ?,0
जागृति कितने बेसबॉल मैच देखने नहीं गई ?,1
नाशपाती के पेड़ से जेसन ने 46 नाशपाती तोड़े,1
"नाशपाती के पेड़ से जेसन ने 46 नाशपाती तोड़े , कल्पेश ने 47 नाशपाती तोड़े",1
"नाशपाती के पेड़ से जेसन ने 46 नाशपाती तोड़े , कल्पेश ने 47 नाशपाती तोड़े और अथर्व ने 12 नाशपाती तोड़े ।",1
कुल कितने नाशपाती तोड़े गए ?,1
कनिष्क के पास 26 बेसबॉल कार्ड थे,2
कनिष्क के पास 26 बेसबॉल कार्ड थे और उसने मालिनी को 18 दिए ।,5
फिर उसे 40 कार्ड्स का 1 बंद डिब्बा मिला ।,0
उसके पास अब कितने कार्ड हैं ?,2
जो के पास 50 खिलौना कारें थीं ।,2
अगर उसने 12 कारें दे,5
"अगर उसने 12 कारें दे दीं , तो उसके पास कितनी कारें होंगी ?",2
1 फ़ोन कम्पनी के दुनिया भर में कुल 7422 ग्राहक हैं ।,2
अगर इनके सभी ग्राहकों में से 723 अमरीका में रहते,0
"अगर इनके सभी ग्राहकों में से 723 अमरीका में रहते हैं , तो इनके कितने ग्राहक दूसरे देशों में रहते हैं ?",0
काव्या ने ₹39 की बचत की ।,0
वह 1 घड़ी खरीदना,4
वह 1 घड़ी खरीदना चाहती,0
वह 1 घड़ी खरीदना चाहती है जिसकी कीमत ₹55 है ।,2
काव्या को और कितने पैसे चाहिए ?,0
1 भोजनालय में 94 बर्तन हैं ।,2
38 काँटे,3
"38 काँटे हैं , 27 चाकू हैं",2
"38 काँटे हैं , 27 चाकू हैं और बाकी चम्मच हैं ।",2
कितनी चम्मच हैं ?,2
अपना काम शुरू करने,0
"अपना काम शुरू करने से पहले , 1 वेटर ने सुनिश्चित करने",0
"अपना काम शुरू करने से पहले , 1 वेटर ने सुनिश्चित करने के लिए जाँच की",0
"अपना काम शुरू करने से पहले , 1 वेटर ने सुनिश्चित करने के लिए जाँच की कि उसके ग्राहकों के लिए पर्याप्त चटनी है या नहीं ।",2
"उसे पहली मेज़ पर 0.25 बोतल , दूसरी मेज़ पर 0.25 बोतल और तीसरी मेज़ पर 0.375 बोतल मिली ।",0
कुल मिलाकर,0
"कुल मिलाकर , वेटर को चटनी की कितनी बोतलें मिलीं ?",0
अंत में वे इटली गए ।,1
वहाँ वे नेपल्स गए,1
"वहाँ वे नेपल्स गए , जहाँ आधुनिक पिज्जा का आविष्कार हुआ था ।",2
उनके वहाँ रहने,0
उनके वहाँ रहने के दौरान ज्योति ने 598 ग्राम पिज्जा खाया,1
ज्योति और बेला ने कुल कितने ग्राम पिज्जा खाया ?,1
पप्पू प्रतिदिन 6.5 घंटे विद्यालय में तथा 2.25 घंटे घर में अध्ययन करता है ।,0
पप्पू के प्रतिदिन अध्ययन का कुल समय ज्ञात कीजिए ।,0
"1 दुकानदार 1 दिन में 30 किलो चावल , 27 किलो गेहूँ और 28 किलो बाजरा बेचता",5
"1 दुकानदार 1 दिन में 30 किलो चावल , 27 किलो गेहूँ और 28 किलो बाजरा बेचता है तो वह 1 सप्ताह में कितना अनाज बेचता है ?",5
खेल के पहले हिस्से में अतुल ने 43 अंक बनाए ।,0
दूसरे हिस्से में उन्होंने 23 अंक बनाए ।,0
उसने कुल कितने अंक बनाए ?,0
जैदेव के पास 39 स्टिकर थे ।,2
उसे अपने जन्मदिन पर 61 और स्टिकर मिले ।,0
जैदेव के पास कितने स्टिकर थे ?,2
डारनेल 0.875 लैप दौड़ा,0
डारनेल 0.875 लैप दौड़ा और फिर उसने 0.75 लैप जॉगिंग की ।,0
डारेल ने कुल कितने लैप्स किए ?,0
कैरी ने ₹24 का 1 स्वेटर खरीदा,4
कैरी ने कितना पैसा खर्च किया ?,0
मैलनी के पास 30 बेसबॉल कार्ड थे,2
मैलनी के पास 30 बेसबॉल कार्ड थे जिनमें से 9 फटे हुए थे ।,2
सारा ने मैलनी से 18 बेसबॉल कार्ड खरीदे ।,4
मैलनी के पास अब कितने बेसबॉल कार्ड हैं ?,2
जागृति ने 37 संतरे तोड़े,1
जागृति ने 37 संतरे तोड़े और सारा ने उनमें से 10 बेच दिए ।,5
ओजस्वी ने 30 नाशपाती तोड़े ।,1
जागृति के पास कितने संतरे बचे हैं ?,0
1 दुकानदार ने 55.50 रु . की दाल तथा 35.75 रुपये का बेसन,3
"1 दुकानदार ने 55.50 रु . की दाल तथा 35.75 रुपये का बेसन दिया , तो उसने कुल कितनी राशि का सामान दिया ?",5
स्कूल की बेक सेल के लिए आशा ने 30 कपकेक बनाए ।,0
यदि उसने उनमें से 9 बेचे,5
यदि उसने उनमें से 9 बेचे और फिर 28 कपकेक और बनाए,0
"यदि उसने उनमें से 9 बेचे और फिर 28 कपकेक और बनाए , तो उसके पास कितने कपकेक होंगे ?",2
श्याम 1 दुकान से 65.50 रुपये का मोमबत्ती का पैकेट तथा 1.25 रुपये की माचिस खरीदता है ।,4
बताइए,2
"बताइए , श्याम ने दुकानदार को कितने रुपये चुकाए ?",2
कनिष्क पिछले साल 36 बास्केटबॉल मैच देखने,0
कनिष्क पिछले साल 36 बास्केटबॉल मैच देखने गया,1
कनिष्क पिछले साल 36 बास्केटबॉल मैच देखने गया था और उससे 1 साल पहले 35 बास्केटबॉल मैच देखने गया था ।,0
कनिष्क पिछले साल 36 बास्केटबॉल मैच देखने गया था और उससे 1 साल पहले 35 बास्केटबॉल मैच देखने गया था ।,1
"इस साल , वह पिछले साल की तुलना में 11 कम मैच देखने गया ।",0
"इस साल , वह पिछले साल की तुलना में 11 कम मैच देखने गया ।",1
कनिष्क इस साल कितने बास्केटबॉल मैच देखने गया ?,0
कनिष्क इस साल कितने बास्केटबॉल मैच देखने गया ?,1
1 पार्टी के लिए हरीश ने खाने पर 45 रुपये और पेय पर 33 रुपये खर्च किए ।,0
हरीश ने कुल कितना खर्चा किया ?,0
सिद्धांत के पास बैंक में 49 रुपये और 24 पैसे थीं ।,2
उसके पिता ने उसे 31 रुपये और 39 पैसे दिए ।,5
उसके पास अब कितने पैसे हैं ?,2
1 पिज़्ज़ा पार्टी में मेसन और उसके दोस्तों ने 2.666666666666666565 नींबू सोडा की बोतलें और 2.66666666666665 कोला की बोतलें पी लीं ।,1
उन्होंने कुल कितना सोडा पीया ?,0
1 साल में मनप्रीत ने 1990 दौड़े बनाई,0
1 साल में मनप्रीत ने 1990 दौड़े बनाई और निर्मल ने 1399 दौड़ें बनाई ।,0
मनप्रीत ने निर्मल से कितनी अधिक दौड़े बनाई ?,0
मिताली के पास 120 रुपये थे ।,2
उसमें से उसने 99 रुपये खर्च कर दिये ।,0
बताइए,2
"बताइए , अब उसके पास कितने रुपये बचे ?",0
शुरूआत में जेन के पास 87 केले थे ।,2
7 1 घोड़े द्वारा खाए गए ।,1
अंत में जेन के पास कितने केले बचे ?,0
गुरप्रीत ने 6 गाजरें उगाईं ।,0
सिद्धांत ने 3 गाजरें उगाईं ।,0
उन्होंने कुल कितनी गाजरें उगाईं ?,0
1 व्यक्ति के पास 50 लीटर दूध हैं ।,2
उसमें से 15 लीटर दूध ख़राब हो गया ।,2
उस व्यक्ति के पास अब कितना दूध बचा ?,0
हार में 20 मोती हैं ।,2
अगर मैं 6 मोती और डालूँ,0
अगर मैं 6 मोती और डालूँ तो हार में कितने मोती होंगे ?,2
ओजस्वी के पास 129 मिठाइयाँ थीं ।,2
अयाना के पास 140 हैं ।,2
ओजस्वी की तुलना में अयाना के पास कितनी ज़्यादा मिठाइयाँ हैं ?,2
मैलनी के खाते में 7 रूपये थे ।,2
उसके पिता ने उसे 8 रूपये दिए,5
उसके पिता ने उसे 8 रूपये दिए और उसकी माँ ने उसे 4 रूपये दिए ।,5
मैलनी के पास अब कितने रूपये हैं ?,2
भूमिका के पास 106 क्रेयॉन हैं ।,2
वह उनमें से 54 जेन को दे देती है ।,5
भूमिका के पास कितने क्रेयॉन बचे हैं ?,0
आर्केड में अजय ने ` व्हेक ए मोल ` खेलकर,0
आर्केड में अजय ने ` व्हेक ए मोल ` खेलकर 32 टिकटें और ` स्के बॉल ` खेलकर 25 टिकटें जीतीं ।,0
आर्केड में अजय ने ` व्हेक ए मोल ` खेलकर 32 टिकटें और ` स्के बॉल ` खेलकर 25 टिकटें जीतीं ।,0
अगर उसने अपनी टिकटों में से 7 1 टोपी पर खर्च कीं,0
"अगर उसने अपनी टिकटों में से 7 1 टोपी पर खर्च कीं , तो अजय के पास कितनी टिकटें बचीं ?",0
आइरिन ने अपनी मेज़ पर रखने,0
आइरिन ने अपनी मेज़ पर रखने के लिए 1 नया लैंप खरीदा ।,4
पुराना लैंप 1 फुट लंबा था,2
पुराना लैंप 1 फुट लंबा था और नया लैंप 2.3333333333333335 फ़ीट लंबा है ।,2
पुराने लैंप की तुलना में नया लैंप कितना लंबा है ?,2
योग करते,0
योग करते समय पवन ने सुबह 59 आसान और दोपहर में 38 आसान किए ।,0
पवन ने कुल कितने आसान किए ?,0
सैली ने 3 रुपये का कूपन इस्तेमाल करके,0
सैली ने 3 रुपये का कूपन इस्तेमाल करके ₹12.32 के आड़ू और ₹11.54 की चेरी ख़रीदी ।,4
कुल मिलाकर,0
कुल मिलाकर सैली ने कितने पैसे खर्च किए ?,0
दिव्यांश के पास 7 किताबें थीं ।,2
अगर उसने 1 बिक्री पर 12 और ख़रीदीं,4
"अगर उसने 1 बिक्री पर 12 और ख़रीदीं , तो उसके पास कुल कितनी होंगी ?",2
स्कूलों की बास्केटबॉल टीम में 39 छात्र भाग लेने,0
स्कूलों की बास्केटबॉल टीम में 39 छात्र भाग लेने के लिए परीक्षण दे रहे थे ।,5
यदि केवल 4 लड़कों और 26 लड़कियों को शामिल किया,0
"यदि केवल 4 लड़कों और 26 लड़कियों को शामिल किया गया , तो कितने छात्रों को नहीं लिया ?",0
राजीव के पास 15000 रूपये हैं ।,2
उसने 2700 रु . के गेहूँ खरीदे,4
उसने 2700 रु . के गेहूँ खरीदे तथा 1900 रु . के चावल खरीदे ।,4
बताओ,2
बताओ उसके पास कितने रुपये शेष बचे ?,0
जॉनेथन 1 डायनासोर की किताब खरीदना,4
जॉनेथन 1 डायनासोर की किताब खरीदना चाहता,0
जॉनेथन 1 डायनासोर की किताब खरीदना चाहता है जिसकी कीमत ₹19 है ।,2
वह ₹7 की 1 बच्चों की रसोई की किताब भी खरीदना चाहता है ।,4
वह ₹7 की 1 बच्चों की रसोई की किताब भी खरीदना चाहता है ।,0
उसके पास जेब में ₹8 है ।,2
जॉनेथन को 2 किताबें खरीदने,4
जॉनेथन को 2 किताबें खरीदने के लिए और कितने पैसों की आवश्यकता है ?,2
"राधा ने दुकान से 2 किलो 500 ग्राम चीनी , 1 किलो 750 ग्राम चाय और 3 किलो 200 ग्राम दाल ख़रीदी ।",4
राधा ने कुल कितना सामान ख़रीदा ?,4
शॉन के पास 45 सीटियाँ हैं ।,2
उसके पास चार्ल्स की तुलना में 32 ज़्यादा सीटियाँ हैं ।,2
चार्ल्स के पास कितनी सीटियाँ हैं ?,2
1 पालतू जानवरों की दुकान में 13 सियामीज़ बिल्लियाँ और 5 हाउस बिल्लियाँ थीं ।,2
1 बिक्री के दौरान उन्होंने 10 बिल्लियाँ बेचीं ।,5
उनके पास कितनी बिल्लियाँ बची हैं ?,0
लूसी किराने की दुकान पर गई ।,1
उसने बिस्कुट के 16 पैक खरीदे,4
उसने बिस्कुट के 16 पैक खरीदे और उनमें से 12 पैक खाए ।,1
बिस्कुट के कितने पैक बचे हैं ?,0
1 गुब्बारे वाले के पास फूले,0
1 गुब्बारे वाले के पास फूले हुए 105 गुब्बारे थे ।,2
इनमें से 98 गुब्बारे फूट गए ।,1
बताओ,2
बताओ अब उसके पास फूले,0
बताओ अब उसके पास फूले हुए कितने गुब्बारे बचे ?,0
कल्पेश ने ₹136.01 का 1 सीडी प्लेयर लौटाया,1
"कल्पेश ने ₹136.01 का 1 सीडी प्लेयर लौटाया , स्पीकर पर ₹139.38 और नए टायर पर ₹112.46 खर्च किए ।",0
वह ₹6.16 की 3 सीडियाँ ख़रीदना,4
वह ₹6.16 की 3 सीडियाँ ख़रीदना चाहता,0
"वह ₹6.16 की 3 सीडियाँ ख़रीदना चाहता था , लेकिन नहीं खरीदीं ।",4
कुल मिलाकर,0
कुल मिलाकर उसने कितना खर्चा किया ?,0
1 वेटर ने गुरुवार रात को फ्रिज में बचे हुए केक रखे ।,0
1 वेटर ने गुरुवार रात को फ्रिज में बचे हुए केक रखे ।,0
उसने देखा,0
"उसने देखा कि भोजनालय में चेरी का 0.08333333333333333 केक , ब्लूबेरी का 0.75 केक और आड़ू का 0.083333333333333 केक था ।",2
भोजनालय में कुल कितने बचे हुए केक थे ?,0
भोजनालय में कुल कितने बचे हुए केक थे ?,2
कार्ला के पास कुछ कंचे थे ।,2
उसने 134 कंचे और खरीदे ।,4
उसके पास अब 187 कंचे हैं ।,2
पहले उसके पास कितने कंचे थे ?,2
दिव्यांश ने 48 रंग भरने की किताबें खरीदीं ।,0
दिव्यांश ने 48 रंग भरने की किताबें खरीदीं ।,4
यदि उसने उनमें से 34 दे,5
यदि उसने उनमें से 34 दे दीं और फिर 3 और दे,5
"यदि उसने उनमें से 34 दे दीं और फिर 3 और दे दीं , तो उसके पास कितनी बची होंगी ?",0
"हार्डवेयर की दुकान पर , कीलों के 0.25 भाग का आकार 2D है",2
"हार्डवेयर की दुकान पर , कीलों के 0.25 भाग का आकार 2D है और कीलों के 0.5 भाग का आकार 4D है ।",2
कीलों के कितने भाग का आकार 2D या 4D है ?,2
जैवन्त के पास 28 मोज़े थे ।,2
अगर उसने 4 को फेंक,1
अगर उसने 4 को फेंक दिया जो फ़िट नहीं हो,2
अगर उसने 4 को फेंक दिया जो फ़िट नहीं हो रहे थे और 36 नए खरीदे,4
"अगर उसने 4 को फेंक दिया जो फ़िट नहीं हो रहे थे और 36 नए खरीदे , तो उसके पास कितने मोज़े होंगे ?",2
ओजस्वी को फल खाना बहुत पसंद है ।,1
ओजस्वी को फल खाना बहुत पसंद है ।,2
ओजस्वी ने अंगूरों पर ₹12.08 और चेरी पर ₹9.85 खर्च किए ।,0
कुल मिलाकर,0
कुल मिलाकर ओजस्वी ने कितने पैसे खर्च किए ?,0
1 क्रिकेट मैच में जावेद ने 36 रन और तनु ने 63 रन बनाए ।,0
बताओ,2
बताओ दोनों ने मिलकर,0
बताओ दोनों ने मिलकर कुल कितने रन बनाए ?,0
अजय को समुद्र तट पर 5 सीपियाँ मिलीं ।,0
उसने लैला को 2 सीपियाँ दीं ।,5
उसके पास अब कितनी सीपियाँ हैं ?,2
श्रीमती शेरिडन के पास 47 मछलियाँ थीं ।,2
उन्होंने अपनी बहन को 22 मछलियाँ दीं ।,5
अब उनके पास कितनी मछलियाँ हैं ?,2
1 अनाथालय में राधा ने 3.450 किलो दाल दी,5
"1 अनाथालय में राधा ने 3.450 किलो दाल दी , मीरा 2.5 किलो चावल दिए",5
"1 अनाथालय में राधा ने 3.450 किलो दाल दी , मीरा 2.5 किलो चावल दिए और रीटा ने 5.6 किलो आटा दिया ।",5
तीनों ने अनाथालय में कुल कितना राशन दिया ?,5
समुद्र के किनारे लीनो ने सुबह 292 सीपियाँ और दोपहर में 324 सीपियाँ उठाईं ।,0
उसने कुल कितनी सीपियाँ उठाईं ?,0
पवन की टोकरी में 42 ककड़ियाँ थीं ।,2
उसने 78 ककड़ियाँ और ख़रीदीं ।,4
उसके पास अब कितनी ककड़ियाँ हैं ?,2
स्कूल के पुस्तक मेले में सिद्धांत ने 13 पाठ्यपुस्तकें और 17 रहस्य की किताबें खरीदीं ।,4
यदि 15 किताबों पुरानी थी,2
"यदि 15 किताबों पुरानी थी , तो उसने कितनी नई किताबें खरीदीं ?",4
अनिल का परिवार बहामास से जापान चला,0
अनिल का परिवार बहामास से जापान चला गया था इसलिए उन्हें अपना पैसा जापानी येन में बदलना पड़ा ।,0
उनके खाते में 6359 येन थे,2
उनके खाते में 6359 येन थे और उन्होंने तब से 3485 येन खर्च किए हैं ।,0
उनके पास कितने येन बचे हैं ?,0
1 वार्ड में 612 पुरुष एवं 700 महिलाएँ थीं ।,2
उसमें से 312 मरीज़ों को छुट्टी मिल गई ।,0
वार्ड में कितने मरीज़ बचे हैं ?,0
1 पालतू जानवरों की दुकान में कुल 77 जानवर हैं ।,2
उनमें से 32 बिल्ली के बच्चे हैं,2
उनमें से 32 बिल्ली के बच्चे हैं और 15 चूहे हैं ।,2
बाकी पक्षी हैं ।,2
कितने पक्षी हैं ?,2
